Week,Rank,Cover,Genre,Song,Artist,Last_Week,Peak,Weeks_on_Chart
2026-01-03,11,https://charts-static.billboard.com/img/1998/01/jose-feliciano-dak-feliznavidad-eq3-180x180.jpg,Pop,Feliz Navidad,Jose Feliciano,14,6,43
2026-01-03,12,https://charts-static.billboard.com/img/1998/01/burl-ives-2ew-ahollyjollychristmas-iae-180x180.jpg,Pop,A Holly Jolly Christmas,Burl Ives,16,4,51
2026-01-03,13,https://charts-static.billboard.com/img/2003/03/michael-buble-qem-180x180.jpg,Pop,It's Beginning To Look A Lot Like Christmas,Michael Buble,13,12,31
2026-01-03,14,https://charts-static.billboard.com/img/2014/12/darlene-love-4un-christmasbabypleasecomehome-430-180x180.jpg,Pop,Christmas (Baby Please Come Home),Darlene Love,17,14,32
2026-01-03,15,https://charts-static.billboard.com/img/1958/12/chuck-berry-7i5-runrudolphrun-bp6-180x180.jpg,Pop,Run Rudolph Run,Chuck Berry,19,10,31
2026-01-03,16,https://charts-static.billboard.com/img/1958/12/bing-crosby-000-whitechristmas1947-imr-180x180.jpg,Pop,White Christmas (1947),Bing CrosbyWith Ken Darby Singers & John Scott Trotter & His Orchestra,20,12,44
2026-01-03,17,https://charts-static.billboard.com/img/2012/12/frank-sinatra-plj-jinglebells-vgd-180x180.jpg,Pop,Jingle Bells,Frank SinatraWith The Orchestra & Chorus Of Gordon Jenkins,21,16,23
2026-01-03,18,https://charts-static.billboard.com/img/1958/08/perry-como-aux-180x180.jpg,Pop,It's Beginning To Look A Lot Like Christmas,Perry ComoAnd The Fontane Sisters WithMitchell Ayres And His Orchestra,23,12,32
2026-01-03,19,https://charts-static.billboard.com/img/2004/12/eartha-kitt-gmf-santababy-6tx-180x180.jpg,Pop,Santa Baby,Eartha KittWith Henri Rene And His Orchestra,24,19,17
2026-01-03,20,https://charts-static.billboard.com/img/2018/01/nat-king-cole-4rw-deckthehalls-cvy-180x180.jpg,Pop,Deck The Halls,Nat King Cole,25,16,22
2026-01-03,21,https://charts-static.billboard.com/img/1998/01/elvis-presley-7uo-bluechristmas-sbf-180x180.jpg,Pop,Blue Christmas,Elvis Presley,27,18,21
2026-01-03,22,https://charts-static.billboard.com/img/2003/12/gene-autry-ry1-herecomessantaclausrightdownsantaclauslane-9tl-180x180.jpg,Pop,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,28,21,29
2026-01-03,23,https://charts-static.billboard.com/img/1962/12/vince-guaraldi-trio-fha-180x180.jpg,Pop,Christmastime Is Here,Vince Guaraldi Trio,36,23,11
2026-01-03,24,https://charts-static.billboard.com/img/1978/12/eagles-3gb-pleasecomehomeforchristmas-pgy-180x180.jpg,Rock,Please Come Home For Christmas,Eagles,33,18,21
2026-01-03,25,https://charts-static.billboard.com/img/2025/07/huntrxejaeaudreynunareiami-o2t-golden-ozh-180x180.jpg,K-Pop,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",11,1,27
2026-01-03,26,https://charts-static.billboard.com/img/1996/01/paul-mccartney-grq-wonderfulchristmastime-xyz-180x180.jpg,Pop,Wonderful Christmastime,Paul McCartney,32,26,20
2026-01-03,27,https://charts-static.billboard.com/img/2019/11/jonas-brothers-f8u-likeitschristmas-y6k-180x180.jpg,Pop,Like It's Christmas,Jonas Brothers,29,27,13
2026-01-03,28,https://charts-static.billboard.com/img/2025/10/taylor-swift-vug-thefateofophelia-ki7-180x180.jpg,Pop,The Fate Of Ophelia,Taylor Swift,10,1,12
